0.00.432.679 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.432.978 W srv  llama_server: -----------------
0.00.432.978 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.432.978 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.432.978 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.432.979 W srv  llama_server: -----------------
0.00.434.235 I srv    load_model: loading model '/data/nvidia/hf_cache/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/83cadfda58d30be06c110518208d1bb918b33f10/UD-Q4_K_XL/Qwen3.8-Flash-Next-UD-Q4_K_XL-00001-of-00004.gguf'
0.11.510.373 W ggml_backend_sched_graph_inputs_grow: increasing graph inputs capacity from 30 to 60
0.11.510.521 W ggml_backend_sched_graph_inputs_grow: increasing graph inputs capacity from 60 to 120
0.17.851.965 I cmn          init: llama threadpool init, n_threads = 60
0.18.030.667 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 896000, kv_unified = 'false'
0.18.035.167 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.18.035.204 I srv  llama_server: model loaded
0.18.035.209 I srv  llama_server: listening on http://0.0.0.0:30004
1.16.480.165 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
#4  0x00007e0a4fa0b9fa in rms_norm_mul_f32_cuda(float const*, float const*, float const*, float*, int, int, int, int, long, long, long, long, long, long, unsigned int, unsigned int, unsigned int, unsigned int, long, long, long, unsigned int, unsigned int, unsigned int, unsigned int, float, CUstream_st*) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libggml-cuda.so.0
#5  0x00007e0a4fa0ce9d in ggml_cuda_op_rms_norm_fused(ggml_backend_cuda_context&, ggml_tensor*, ggml_tensor*) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libggml-cuda.so.0
#6  0x00007e0a4f87ea2e in ggml_cuda_try_fuse(ggml_backend_cuda_context*, ggml_cgraph*, int) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libggml-cuda.so.0
#7  0x00007e0a4f88bcd1 in ggml_backend_cuda_graph_compute(ggml_backend*, ggml_cgraph*) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libggml-cuda.so.0
#8  0x00007e0a5956c9d7 in ggml_backend_sched_graph_compute_async () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libggml-base.so.0
#9  0x00007e0a584fc461 in llama_context::graph_compute(ggml_cgraph*, bool) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama.so.0
#10 0x00007e0a584ff3eb in llama_context::process_ubatch(llama_ubatch const&, llm_graph_type, llama_memory_context_i*, ggml_status&) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama.so.0
#11 0x00007e0a58506757 in llama_context::decode(llama_batch const&) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama.so.0
#12 0x00007e0a58507b00 in llama_decode () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama.so.0
#13 0x00007e0a59756368 in std::_Function_handler<void (), server_context_impl::decode(int&, int, llama_batch&)::{lambda()#1}>::_M_invoke(std::_Any_data const&) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama-server-impl.so
#14 0x00007e0a5971452b in server_queue::yield_to_queue(std::function<void ()>&&) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama-server-impl.so
#15 0x00007e0a59767c7b in server_context_impl::decode(int&, int, llama_batch&) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama-server-impl.so
#16 0x00007e0a5976e447 in server_context_impl::update_slots() () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama-server-impl.so
#17 0x00007e0a59714fb8 in server_queue::start_loop(long) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama-server-impl.so
#18 0x00007e0a596c4944 in llama_server(common_params&, int, char**) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama-server-impl.so
#19 0x00007e0a596c5a7f in llama_server(int, char**) () from /data/qwen3.8-flash-next/llama.cpp-qwen4exp/build/bin/libllama-server-impl.so
#20 0x00007e0a58e29d90 in ?? () from /lib/x86_64-linux-gnu/libc.so.6
#21 0x00007e0a58e29e40 in __libc_start_main () from /lib/x86_64-linux-gnu/libc.so.6
#22 0x00006152a8a2d295 in _start ()
[Inferior 1 (process 38781) detached]
